time,open,high,low,close,Shapes,Shapes,PP SuperTrend,Plot,Buy,Sell,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,Plot,Shapes,IMI,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Plot,ADX,cero,verde,marron,azul,lmarron,lineav,lazul,media,cero,%K,%D
1652725260,12338.3,12344.3,12336.3,12343.7,0,0,12301.494047392825,NaN,NaN,NaN,NaN,NaN,12361.3,12215.7,NaN,12361.3,NaN,12215.7,12288.5,12288.5,12330.141599999999,12330.141599999999,NaN,NaN,12305.6808,12305.6808,NaN,NaN,12271.3192,12271.3192,NaN,NaN,12250.0616,12250.0616,NaN,NaN,51.52542372881385,12319.060197160406,NaN,NaN,NaN,NaN,NaN,12340.649999999998,-0.9549966939124204,4.583351824565398,5.538348518477818,54.547789641541534,56.06266595860023,NaN,NaN,8.110071428621866,0,14.776872753782595,0,67.61520049735897,69.09969317151042,5.766837270402528,69.09969317151042,67.61520049735897,5.766837270402528,77.9770386727473,0,43.2258064516176,36.23655913978769
1652725320,12344.2,12360.8,12339.2,12355.8,0,0,12301.494047392825,NaN,NaN,NaN,NaN,NaN,12361.3,12215.7,NaN,12361.3,NaN,12215.7,12288.5,12288.5,12330.141599999999,12330.141599999999,NaN,NaN,12305.6808,12305.6808,NaN,NaN,12271.3192,12271.3192,NaN,NaN,12250.0616,12250.0616,NaN,NaN,54.01929260450043,12319.060197160406,NaN,NaN,NaN,NaN,NaN,12350,-0.1147832449935553,5.394869462235874,5.50965270722943,60.50655217599998,55.77765768705221,NaN,NaN,7.169642857193294,0,15.638332233215891,0,100.85976887688679,80.80140334904391,5.045982611601339,80.80140334904391,100.85976887688679,5.045982611601339,78.33008425728437,0,82.25806451612904,50.967741935485435
1652725380,12355.7,12356.6,12347.5,12351.1,0,0,12301.494047392825,NaN,NaN,NaN,NaN,NaN,12361.3,12215.7,NaN,12361.3,NaN,12215.7,12288.5,12288.5,12330.141599999999,12330.141599999999,NaN,NaN,12305.6808,12305.6808,NaN,NaN,12271.3192,12271.3192,NaN,NaN,12250.0616,12250.0616,NaN,NaN,46.388261851014114,12319.060197160406,NaN,NaN,NaN,NaN,NaN,12352.725,0.06768992254781558,5.594265110414199,5.526575187866383,57.36087597635256,55.04420562072186,NaN,NaN,5.579071428621706,0,16.438258892689667,0,89.37717699499575,80.12191658815802,4.415234785150298,80.12191658815802,89.37717699499575,4.415234785150298,78.55406329864357,0,68.19672131147898,64.56019742640854
1652725440,12349.7,12358.8,12349.7,12356.1,0,0,12306.8755248797,NaN,NaN,NaN,NaN,NaN,12361.3,12215.7,NaN,12361.3,NaN,12215.7,12288.5,12288.5,12330.141599999999,12330.141599999999,NaN,NaN,12305.6808,12305.6808,NaN,NaN,12271.3192,12271.3192,NaN,NaN,12250.0616,12250.0616,NaN,NaN,59.3749999999973,12319.361953972815,NaN,NaN,NaN,NaN,NaN,12353.574999999999,0.44721573930770653,6.085594862001017,5.63837912269331,59.75777857472429,55.187499434372555,NaN,NaN,4.741214285764752,0,17.343035824623122,0,92.73850677167871,84.64015391569446,10.546618901991371,84.64015391569446,92.73850677167871,10.546618901991371,79.31482462577493,0,84.59016393442981,78.34831658734595
1652725500,12356.5,12365.7,12351.8,12354.1,0,0,12306.8755248797,NaN,NaN,NaN,NaN,NaN,12365.7,12215.7,NaN,12365.7,NaN,12215.7,12290.7,12290.7,12333.6,12333.6,NaN,NaN,12308.400000000001,12308.400000000001,NaN,NaN,12273,12273,NaN,NaN,12251.1,12251.1,NaN,NaN,67.95422031473215,12319.361953972815,NaN,NaN,NaN,NaN,NaN,12357.025,0.48261202674712944,6.241644156127222,5.759032129380093,58.344948129476315,55.70625751379714,NaN,NaN,5.3035000000504,0,18.66311347579155,0,98.9933055802306,91.90724683124374,6.554976153247051,91.90724683124374,98.9933055802306,6.554976153247051,80.88887740145853,0,67.23163841807941,73.33950788799608
1652725560,12354.6,12361.4,12346.7,12360.3,0,0,12306.8755248797,NaN,NaN,NaN,NaN,NaN,12365.7,12215.7,NaN,12365.7,NaN,12215.7,12290.7,12290.7,12333.6,12333.6,NaN,NaN,12308.400000000001,12308.400000000001,NaN,NaN,12273,12273,NaN,NaN,12251.1,12251.1,NaN,NaN,66.86390532544002,12319.361953972815,NaN,NaN,NaN,NaN,NaN,12355.75,0.82266393310202,6.787362045757618,5.964698112655598,61.39225644863444,56.20361438490337,NaN,NaN,6.3273571429072515,0,19.20835311279356,0,103.12588744986186,86.09842778006325,5.735604134091461,86.09842778006325,103.12588744986186,5.735604134091461,81.54007119878412,0,84.74576271186092,78.85585502145672
1652725620,12359.8,12369.5,12352.3,12368.7,0,0,12306.8755248797,NaN,NaN,NaN,NaN,NaN,12369.5,12215.7,NaN,12369.5,NaN,12215.7,12292.6,12292.6,12336.586800000001,12336.586800000001,NaN,NaN,12310.7484,12310.7484,NaN,NaN,12274.4516,12274.4516,NaN,NaN,12251.9968,12251.9968,NaN,NaN,70.09345794392217,12326.847647984809,NaN,NaN,NaN,NaN,NaN,12362.575,1.4743658392803685,7.807655411756059,6.333289572475691,65.11574830974277,56.91966342337399,NaN,NaN,8.385857142907554,0,20.27862048593716,0,111.45382376383391,96.86530335636118,15.994066044466738,96.86530335636118,111.45382376383391,15.994066044466738,83.45572521848125,0,97.95918367347129,83.31219493447054
1652725680,12369.6,12378.8,12368,12378.5,0,0,12306.8755248797,NaN,NaN,NaN,NaN,NaN,12378.8,12215.7,NaN,12378.8,NaN,12215.7,12297.25,12297.25,12343.8966,12343.8966,NaN,NaN,12316.4958,12316.4958,NaN,NaN,12278.0042,12278.0042,NaN,NaN,12254.1916,12254.1916,NaN,NaN,72.94685990337864,12337.077300349136,NaN,NaN,NaN,NaN,NaN,12373.725,2.3732249882381335,9.299820807773358,6.926595819535224,68.88594553673936,57.89833705016324,NaN,NaN,12.370250000050513,0,21.822245056198604,0,143.12694594259594,114.7514309961563,13.720499568578761,114.7514309961563,143.12694594259594,13.720499568578761,87.36768844069063,0,99.38144329897057,94.02879656143426
1652725740,12379.6,12380.2,12372,12378.8,0,0,12307.678191439041,NaN,NaN,NaN,NaN,NaN,12380.2,12215.7,NaN,12380.2,NaN,12215.7,12297.95,12297.95,12344.997000000001,12344.997000000001,NaN,NaN,12317.361,12317.361,NaN,NaN,12278.539,12278.539,NaN,NaN,12254.522,12254.522,NaN,NaN,74.93796526054173,12338.141968515083,NaN,NaN,NaN,NaN,NaN,12377.650000000001,2.768200960787645,10.386847020519781,7.618646059732136,68.99641099331029,59.053992915023386,NaN,NaN,16.968000000050388,0,23.33285350093242,0,143.36411725193358,119.38602989406321,12.176536720311052,119.38602989406321,143.36411725193358,12.176536720311052,91.3699811223622,0,97.19438877755228,98.17833858333138
1652725800,12379.6,12384.7,12375.6,12384.5,0,0,12308.85087354471,NaN,NaN,NaN,NaN,NaN,12384.7,12215.7,NaN,12384.7,NaN,12215.7,12300.2,12300.2,12348.534000000001,12348.534000000001,NaN,NaN,12320.142,12320.142,NaN,NaN,12280.258000000002,12280.258000000002,NaN,NaN,12255.584,12255.584,NaN,NaN,73.7321196358862,12344.449151764398,NaN,NaN,NaN,NaN,NaN,12381.1,3.1649535217313023,11.574837961896264,8.409884440164962,71.09614345179604,60.04870244397788,NaN,NaN,20.727071428621795,0,24.98208421000799,0,146.58776263046536,117.78399433038058,10.591924499153441,117.78399433038058,146.58776263046536,10.591924499153441,94.6717327733645,0,99.63235294117514,98.736061672566
1652725860,12384.7,12385,12379,12380.8,0,0,12310.836287439814,NaN,NaN,NaN,NaN,NaN,12385,12215.7,NaN,12385,NaN,12215.7,12300.35,12300.35,12348.7698,12348.7698,NaN,NaN,12320.3274,12320.3274,NaN,NaN,12280.3726,12280.3726,NaN,NaN,12255.6548,12255.6548,NaN,NaN,76.20967741935002,12345.451463047833,NaN,NaN,NaN,NaN,NaN,12382.375,2.934921579848865,12.078536414976043,9.143614835127178,67.88233269274191,61.105013888217535,NaN,NaN,22.07796428576473,0,26.53006874828626,0,141.71973555340998,117.39233915243334,4.61872114498937,117.39233915243334,141.71973555340998,4.61872114498937,97.5118085707481,0,91.79687499999869,96.20787223957537
1652725920,12380.1,12397.3,12378.6,12391.2,0,0,12310.836287439814,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,78.03970223324629,12351.37639654566,NaN,NaN,NaN,NaN,NaN,12386.8,3.217231688807468,13.165154446136512,9.947922757329044,71.74811962897721,62.234847610569716,NaN,NaN,24.956750000050718,0,28.578600224235164,0,151.79562880414258,117.02424749921957,4.096547365340465,117.02424749921957,151.79562880414258,4.096547365340465,99.95086343680704,0,90.39370078740387,93.94097624285924
1652725980,12391.3,12396.3,12386.6,12391.5,0,0,12310.836287439814,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,80.69053708439493,12352.163833066312,NaN,NaN,NaN,NaN,NaN,12391.425,3.1539775807535833,13.890394733271023,10.73641715251744,71.85336258463015,63.52158417658852,NaN,NaN,27.457571428622035,0,30.480808023330574,0,150.42028055354496,120.8775873940537,3.6680342982371714,120.8775873940537,150.42028055354496,3.6680342982371714,102.56670393146287,0,90.49180327868972,90.8941263553641
1652726040,12391.8,12392.6,12384.3,12385.6,0,0,12327.768607764723,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,77.90123456789993,12352.820022472388,NaN,NaN,NaN,NaN,NaN,12388.574999999999,2.4745883324746565,13.82965256811076,11.355064235636103,66.5989014556277,64.57765468573533,NaN,NaN,28.357357142907752,0,31.874508877587633,0,134.73367749375114,109.80441781589164,-4.612274810583319,109.80441781589164,134.73367749375114,-4.612274810583319,103.47141816701647,0,80.81967213114933,87.23505873241432
1652726100,12386.3,12386.5,12372.3,12379.1,0,0,12327.768607764723,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,69.68599033816355,12352.820022472388,NaN,NaN,NaN,NaN,NaN,12381.05,1.400701536199417,13.105941155885375,11.705239619685958,61.281983841551515,65.05866855716461,NaN,NaN,27.250178571479253,0,31.466721010792035,0,110.98122401508519,97.81964329658089,-4.214763143468905,97.81964329658089,110.98122401508519,-4.214763143468905,102.76494630821202,0,68.67469879518181,79.99539140167361
1652726160,12379.7,12382.5,12363.6,12369.3,0,0,12327.768607764723,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,56.49509803921462,12352.820022472388,NaN,NaN,NaN,NaN,NaN,12373.775000000001,-0.0779445328320687,11.607808953645872,11.68575348647794,54.24982589730568,64.61175953725787,NaN,NaN,24.896607142907616,0,30.093664408351373,0,94.08338970372805,82.75340717453432,-18.109135920572484,82.75340717453432,94.08338970372805,-18.109135920572484,100.2635039165023,0,44.66403162055177,64.71946751562764
1652726220,12369.6,12376.6,12367.7,12375.6,0,0,12327.768607764723,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,62.77108433734846,12352.820022472388,NaN,NaN,NaN,NaN,NaN,12372.375,-0.7051307634278992,10.804340032193068,11.509470795620967,57.616864103352604,64.63004440347217,NaN,NaN,22.78582142862173,0,28.818683277513614,0,92.67889053928552,82.90359819064932,-6.907278299123247,82.90359819064932,92.67889053928552,-6.907278299123247,98.09351570077068,0,57.114624505929775,56.81778497388779
1652726280,12375.8,12382.5,12375.2,12382.2,0,0,12327.79946664246,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,62.77108433734928,12353.201246885683,NaN,NaN,NaN,NaN,NaN,12378.925,-0.7450078894395435,10.578210933821538,11.323218823261081,60.86620535720733,64.70921774507809,NaN,NaN,22.19996428576456,0,28.135330131673232,0,96.70754031449226,88.25741259547999,4.03469379829777,88.25741259547999,96.70754031449226,4.03469379829777,96.86400281260934,0,70.15810276680044,57.31225296442733
1652726340,12382.5,12388.5,12377.5,12385,0,0,12328.07752053358,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,65.70397111913303,12353.442099299971,NaN,NaN,NaN,NaN,NaN,12383.375,-0.6554897207545842,10.503856672317852,11.159346393072436,62.190551053895874,64.98390366825092,NaN,NaN,21.380214285764744,0,27.96464330275433,0,102.95063791299819,92.31925763905153,3.6322586230285716,92.31925763905153,102.95063791299819,3.6322586230285716,96.29590966591462,0,75.69169960474382,67.65480895915802
1652726400,12386,12395.2,12385,12386,0,0,12328.567769035588,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,63.178294573643484,12353.781094786335,NaN,NaN,NaN,NaN,NaN,12388.05,-0.6029395796862875,10.405671918464577,11.008611498150865,62.676353969609785,65.07562491974916,NaN,NaN,19.980428571478893,0,28.273868575669148,0,111.55840083173425,100.81413030182668,3.260576483948468,100.81413030182668,111.55840083173425,3.260576483948468,96.86068724540362,0,74.8888888888905,73.57956375347825
1652726460,12386.2,12386.5,12374.6,12376,0,0,12328.567769035588,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,50.8259212198216,12353.872863205139,NaN,NaN,NaN,NaN,NaN,12380.825,-1.2769351280988825,9.412442588027261,10.689377716126144,55.057942417215095,64.35721021314005,NaN,NaN,16.446571428621844,0,27.346981643024165,0,97.42994142907537,87.8323718945944,-13.915287406133581,87.8323718945944,97.42994142907537,-13.915287406133581,95.73214782655248,0,36.7952522255194,62.458613573051245
1652726520,12376.1,12386,12376,12383,0,0,12339.5470921228,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,49.54367666232028,12354.219551241269,NaN,NaN,NaN,NaN,NaN,12380.275,-1.2831728004212763,9.085411715599548,10.368584516020825,58.83036586992773,63.6389545226535,NaN,NaN,14.639250000050264,0,26.48630091985382,0,94.25733093242027,85.70314474380501,-0.39936823815680694,85.70314474380501,94.25733093242027,-0.39936823815680694,94.47852244120904,0,57.5667655786358,56.4169688976819
1652726580,12383.8,12396.7,12383.8,12387.7,0,0,12339.5470921228,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,52.50626566416139,12354.219551241269,NaN,NaN,NaN,NaN,NaN,12388,-1.014401799950491,9.10058226608271,10.114984066033202,61.18616645153601,63.08107991252676,NaN,NaN,12.993142857192918,0,26.491295154521634,0,106.30548725968936,92.79233593250886,-0.3592432574567454,92.79233593250886,106.30548725968936,-0.3592432574567454,94.26774912762151,0,71.5133531157304,55.291790306628535
1652726640,12386.8,12386.8,12368.5,12372.1,0,0,12339.5470921228,NaN,NaN,NaN,NaN,NaN,12397.3,12215.7,NaN,12397.3,NaN,12215.7,12306.5,12306.5,12358.4376,12358.4376,NaN,NaN,12327.9288,12327.9288,NaN,NaN,12285.0712,12285.0712,NaN,NaN,12258.5576,12258.5576,NaN,NaN,41.29464285714507,12354.219551241269,NaN,NaN,NaN,NaN,NaN,12378.55,-1.8805366597476443,7.7643132413486455,9.64484990109629,50.796398210586204,61.631098109583206,NaN,NaN,8.502000000050018,0,24.960012687626417,0,67.62937710928341,75.76083263461518,-0.3145795642369379,75.76083263461518,67.62937710928341,-0.3145795642369379,91.95438456599572,0,25.2225519287842,51.43422354105012
